ISIN;Name;Anlageklasse;Währung;Gewichtung;Sektor;Land
US92338C1036;VERALTO CORP;EQUITY;USD;0,054629263;Industrie;USA
US94106L1098;WASTE MANAGEMENT INC;EQUITY;USD;0,054488463;Industrie;USA
US7607591002;REPUBLIC SERVICES INC;EQUITY;USD;0,054345149;Industrie;USA
US0304201033;AMERICAN WATER WORKS;EQUITY;USD;0,051886909;Versorger;USA
FR0000124141;VEOLIA ENVIRONNEMENT;EQUITY;EUR;0,05103626;Versorger;Frankreich
US31488V1070;FERGUSON ENTERPRISES INC;EQUITY;USD;0,050313848;Industrie;USA
IE00BLS09M33;PENTAIR PLC;EQUITY;USD;0,050102631;Industrie;USA
US98419M1009;XYLEM INC;EQUITY;USD;0,048490029;Industrie;USA
US3841091040;GRACO INC;EQUITY;USD;0,041486416;Industrie;USA
SE0000695876;ALFA LAVAL AB;EQUITY;SEK;0,040365637;Industrie;Schweden
US00790R1041;ADVANCED DRAINAGE SYSTEMS IN;EQUITY;USD;0,033893242;Industrie;USA
JP3166000004;EBARA CORP;EQUITY;JPY;0,033860286;Industrie;Japan
US29670G1022;ESSENTIAL UTILITIES INC;EQUITY;USD;0,033497174;Versorger;USA
GB00B39J2M42;UNITED UTILITIES GROUP PLC NEW;EQUITY;GBP;0,033148009;Versorger;Großbritannien
GB00B1FH8J72;SEVERN TRENT PLC;EQUITY;GBP;0,03058827;Versorger;Großbritannien
DE0006602006;GEA GROUP AG EX MG TECHNOLOGIE;EQUITY;EUR;0,029787892;Industrie;Deutschland
US34354P1057;FLOWSERVE CORP;EQUITY;USD;0,027774714;Industrie;USA
US21874C1027;CORE & MAIN INC-CLASS A;EQUITY;USD;0,026950794;Industrie;USA
US88162G1031;TETRA TECH INC;EQUITY;USD;0,025731337;Industrie;USA
US9427491025;WATTS WATER TECHNOLOGIES -A-;EQUITY;USD;0,023006961;Industrie;USA
US98983L1089;ZURN ELKAY WATER SOLUTIONS C;EQUITY;USD;0,02187355;Industrie;USA
US0565251081;BADGER METER INC;EQUITY;USD;0,016272382;Informationstechnologie;USA
JP3270000007;KURITA WATER INDUSTRIES LTD;EQUITY;JPY;0,012544903;Industrie;Japan
AT0000831706;WIENERBERGER AG;EQUITY;EUR;0,011822301;Werkstoffe;Österreich
IT0001250932;HERA SPA;EQUITY;EUR;0,011674019;Versorger;Italien
AU000000CWY3;CLEANAWAY WASTE MANAGEMENT LTD;EQUITY;AUD;0,011575124;Industrie;Australien
US6247581084;MUELLER WATER PRODUCTS INC-A;EQUITY;USD;0,011481729;Industrie;USA
GB00BVFNZH21;ROTORK PLC;EQUITY;GBP;0,01114267;Industrie;Großbritannien
US3535141028;FRANKLIN ELECTRIC CO INC;EQUITY;USD;0,010869614;Industrie;USA
GB00BNNTLN49;PENNON GROUP PLC;EQUITY;GBP;0,010033149;Versorger;Großbritannien
CH0038388911;SULZER AG-REG;EQUITY;CHF;0,009605161;Industrie;Schweiz
US0298991011;AMERICAN STATES WATER CO;EQUITY;USD;0,008640907;Versorger;USA
US1307881029;CALIFORNIA WATER SERVICES;EQUITY;USD;0,008518225;Versorger;USA
JP3201600008;ORGANO CORP  Y50;EQUITY;JPY;0,006929475;Industrie;Japan
AU000000RWC7;RELIANCE WORLDWIDE CORP LTD;EQUITY;AUD;0,006242334;Industrie;Australien
CH0371153492;LANDIS + GYR GROUP AG;EQUITY;CHF;0,005071114;Informationstechnologie;Schweiz
US7843051043;H2O AMERICA;EQUITY;USD;0,00495754;Versorger;USA
US1251411013;CECO ENVIRONMENTAL CORP;EQUITY;USD;0,004664477;Industrie;USA
BMG0957L1090;BEIJING ENTERPRISE WATER GP LT;EQUITY;HKD;0,004214218;Versorger;China
US5355551061;LINDSAY CORP;EQUITY;USD;0,003858783;Industrie;USA
US3830821043;GORMAN-RUPP CO;EQUITY;USD;0,002943364;Industrie;USA
JP3462600002;TAKUMA CO LTD;EQUITY;JPY;0,002667197;Industrie;Japan
JP3485600005;DAISEKI CO LTD;EQUITY;JPY;0,002383047;Industrie;Japan
US29270J1007;ENERGY RECOVERY INC;EQUITY;USD;0,002280571;Industrie;USA
KYG2157Q1029;CHINA LESSO GRP HLD LTD;EQUITY;HKD;0,001719323;Industrie;China
;;CASH;EUR;0,000624446; ; 
DE000C7H19F7;MSCI WORLD INDEX (USD,NTR) 12/25 EUREX;FUTURE;USD;7,0956E-06;;USA
