ISIN;Name;Anlageklasse;Währung;Gewichtung;Sektor;Land
US0231351067;AMAZON.COM INC;EQUITY;USD;0,301297057;Nicht-Basiskonsumgüter;USA
US88160R1014;TESLA INC;EQUITY;USD;0,159373327;Nicht-Basiskonsumgüter;USA
US4370761029;HOME DEPOT INC;EQUITY;USD;0,05267774;Nicht-Basiskonsumgüter;USA
US5801351017;MCDONALD S CORP  COM NPV;EQUITY;USD;0,032113184;Nicht-Basiskonsumgüter;USA
FR0000121014;LVMH MOET HENNESSY LOUIS VUI;EQUITY;EUR;0,029612621;Nicht-Basiskonsumgüter;Frankreich
JP3633400001;TOYOTA MOTOR CORP;EQUITY;JPY;0,028940219;Nicht-Basiskonsumgüter;Japan
JP3435000009;SONY GROUP CORP (JT);EQUITY;JPY;0,02469984;Nicht-Basiskonsumgüter;Japan
US09857L1089;BOOKING HOLDINGS INC;EQUITY;USD;0,024494498;Nicht-Basiskonsumgüter;USA
US8725401090;TJX COMPANIES INC;EQUITY;USD;0,023439783;Nicht-Basiskonsumgüter;USA
US5486611073;LOWE S COS INC COM US 0.50;EQUITY;USD;0,019421999;Nicht-Basiskonsumgüter;USA
US8552441094;STARBUCKS CORP;EQUITY;USD;0,015425633;Nicht-Basiskonsumgüter;USA
NL0013654783;PROSUS NV;EQUITY;EUR;0,013536886;Nicht-Basiskonsumgüter;Niederlande
FR0000052292;HERMES INTERNATIONAL;EQUITY;EUR;0,012745036;Nicht-Basiskonsumgüter;Frankreich
US67103H1077;O REILLY AUTOMOTIVE INC;EQUITY;USD;0,012550863;Nicht-Basiskonsumgüter;USA
US6541061031;NIKE INC -CL B;EQUITY;USD;0,012280545;Nicht-Basiskonsumgüter;USA
US0533321024;AUTOZONE INC;EQUITY;USD;0,009719203;Nicht-Basiskonsumgüter;USA
JP3802300008;FAST RETAILING CO  JPY50;EQUITY;JPY;0,009542422;Nicht-Basiskonsumgüter;Japan
US0090661010;AIRBNB INC-CLASS A;EQUITY;USD;0,008235655;Nicht-Basiskonsumgüter;USA
ES0148396007;INDUSTRIA DE DISENO TEXTIL;EQUITY;EUR;0,00818588;Nicht-Basiskonsumgüter;Spanien
US37045V1008;GENERAL MOTORS CO;EQUITY;USD;0,008131739;Nicht-Basiskonsumgüter;USA
