Full name;ISIN;Weight
CIPHER MINING INC USD 1.0000;US17253J1060;0,051580471
SBI HOLDINGS INC NPV;JP3436120004;0,041816947
NU HOLDINGS LTD/CAYMAN ISL-A USD 0.0000;KYG6683N1034;0,039483491
COINBASE GLOBAL INC -CLASS A USD 0.0000;US19260Q1076;0,035888826
ROBINHOOD MARKETS INC - A USD 0.0001;US7707001027;0,034895333
CLEANSPARK INC USD NPV;US18452B2097;0,034621344
MERCADOLIBRE INC USD0.001;US58733R1023;0,033608495
TAIWAN SEMICONDUCTOR MANUFAC TWD10;TW0002330008;0,03350139
IREN Ltd USD NPV;AU0000185993;0,032464366
ADVANCED MICRO DEVICES USD0.01;US0079031078;0,032229716
CORE SCIENTIFI USD 0.000100000;US21874A1060;0,031569806
PAYPAL HOLDINGS INC USD0.0001;US70450Y1038;0,031512291
GALAXY DIGITAL PUBCO INC-A CAD NPV;US36317J2096;0,03044138
BLOCK INC USD 0.0000001;US8522341036;0,029650289
ETORO GROUP LTD-AUSD NPV;VGG320891077;0,028779807
HUT 8 CORP USD 0.0100;US44812J1043;0,028356608
BITFARMS LTD/CANADA USD NPV;CA09173B1076;0,027295194
RIOT PLATFORMS IN USD NPV;US7672921050;0,027267154
CME GROUP INC USD0.01;US12572Q1058;0,027227864
SAMSUNG ELECTRONICS CO LTD KRW100;KR7005930003;0,026400781
MASTERCARD INC - A USD0.0001;US57636Q1040;0,024814422
MONEX GROUP INC NPV;JP3869970008;0,023195909
METAPLANET INCJPY NPV;JP3481200008;0,022015911
SHARPLINUSD NPV;US8200144058;0,019842974
GMO Internet group Inc NPV;JP3152750000;0,019110818
Sumitomo Mitsui Trust Group Inc JPY NPV;JP3892100003;0,018464915
CITIGROUP INC USD0.01;US1729674242;0,018462461
ASML HOLDING NV EUR0.09;NL0010273215;0,0180927
NEXTERA ENERGY INC USD0.01;US65339F1012;0,018011855
SONY GROUP CORP NPV;JP3435000009;0,017361011
BIT DIGITAL INC USD NPV;KYG1144A1058;0,016814172
Strategy Inc USD 0.001;US5949724083;0,016273969
BLACKROCK FUNDING INC/DE USD NPV;US09290D1019;0,01597006
Meta Platforms INC USD0.000006;US30303M1027;0,014984914
STANDARD CHARTERED PLC USD0.5;GB0004082847;0,010118174
NEXON CO LTD NPV;JP3758190007;0,009985523
CANAAN INC;US1347481020;0,009359532
FLOW TRADERS LTD EUR 0.10;BMG3602E1084;0,008813194
CERES INC/JAPAN NPV;JP3423570005;0,008517948
KINSUS INTERCONNECT TECH TWD10;TW0003189007;0,008009005
ORACLE CORP USD0.01;US68389X1054;0,006519246
COINSHARES INTERNATIONAL LTD SEK 0.4950;JE00BLD8Y945;0,005810029
SOFTBANK GROUP CORP NPV;JP3436100006;0,005780076
BITCOIN GROUP SE NPV;DE000A1TNV91;0,002894504
DEFI TECCAD NPV;CA2449161025;0,002182109
NOMURA HOLDINGS INC NPV;JP3762600009;0,000173838
Cash and/or Derivatives;;-0,000170821
